ER25001,ER25002,ER25003,ER25004,ER27442,ER27451,ER27708,ER28037,ER36001,ER36002,ER36003,ER36004,ER40614,ER40622,ER41027,ER42001,ER42002,ER42003,ER42004,ER46592,ER46600,ER46935,ER47301,ER47302,ER47303,ER47304,ER51953,ER51961,ER52046,ER52343,ER53001,ER53002,ER53003,ER53004,ER57709,ER57730,ER58152,ER60001,ER60002,ER60003,ER60004,ER64869,ER64910,ER65349,ER66001,ER66002,ER66003,ER66004,ER70941,ER71042,ER71064,ER71426,ER72001,ER72002,ER72003,ER72004,ER76960,ER77064,ER77086,ER77448,ER78001,ER78002,ER78003,ER78004,ER81188,ER81340,ER81422,ER81775
7,561,12,17,8,500,6,18898,8,126,12,17,8,300,25646,6,2409,12,17,8,0,18153,6,3149,12,17,8,1000,1,2416,4,3461,12,17,8,100,10850,2,1989,12,17,8,0,11994,,,,,,,,,,,,,,,,,,,,,,,,
7,1202,26,31,8,6500,1,199186,8,997,26,31,8,8000,168000,6,539,26,31,8,6500,135500,6,3622,26,31,8,11000,1,124600,4,1195,24,29,8,6500,210375,2,3220,24,29,8,14000,261331,3,4043,24,29,8,32000,1,250800,1,6444,24,29,9,32000,1,243000,2,5474,24,29,9,35000,2,270600
,,,,,,,,8,6207,10,13,0,0,100250,6,497,24,29,0,0,107200,6,4234,24,29,0,0,1,109250,4,3571,24,29,0,0,149100,,,,,,,,3,9110,24,29,8,0,2,155100,,,,,,,,,2,8618,24,29,99,0,1,197000
7,6475,26,31,8,0,1,31050,8,4764,9,12,8,0,35150,6,847,9,12,8,0,70150,6,4787,30,35,8,0,2,154390,4,8860,32,37,8,300,139075,2,7525,9,12,8,0,134500,3,7810,17,22,8,500,1,146000,1,8441,17,22,4,600,2,119000,2,4485,24,29,4,0,0,213824
,,,,,,,,8,6467,26,31,8,700,71250,6,2267,29,34,8,0,80050,6,5342,29,34,8,0,1,100210,4,9021,24,29,8,0,96005,,,,,,,,3,8286,41,47,8,0,2,93490,1,8878,41,47,14,17000,1,170000,,,,,,,,
,,,,,,,,8,5967,14,19,8,150,5055,6,858,14,19,8,0,1030,6,7106,26,31,8,0,4,35060,4,3221,26,31,8,500,100050,2,2679,26,31,8,2400,77652,3,5702,26,31,8,4200,1,115050,1,5801,26,31,14,2500,1,185200,2,6607,26,31,14,0,1,221000
7,3444,12,17,0,0,1,46400,8,4264,12,17,0,0,44405,6,4485,12,17,0,0,61602,6,4773,12,17,0,0,0,67572,4,2662,12,17,0,0,66676,2,3130,12,17,0,0,49994,3,4056,12,17,0,0,0,60012,1,4882,12,17,10,0,0,29100,2,4092,12,17,10,0,0,34430
7,724,12,17,0,0,0,86100,8,724,12,17,0,0,97000,6,729,12,17,0,0,135582,6,5667,12,17,0,0,0,147700,4,1612,12,17,0,0,162642,2,2184,12,17,0,0,236220,3,6322,21,26,0,0,0,245200,,,,,,,,,,,,,,,,
7,345,34,39,8,0,2,42420,8,178,34,39,8,0,42173,6,412,34,39,8,0,41200,6,550,34,39,8,0,1,45689,4,6441,34,39,8,0,13044,2,48,34,39,8,0,9918,3,3802,34,39,8,0,0,8832,1,4054,34,39,1,0,0,7596,,,,,,,,
7,825,34,39,8,0,0,13000,8,534,34,39,8,0,13000,6,470,34,39,8,0,30000,6,499,34,39,8,0,0,30000,4,2820,34,39,8,0,30000,2,2000,34,39,8,0,30000,3,4360,34,39,8,0,0,12000,1,4037,34,39,20,0,0,23928,2,4057,34,39,20,0,0,9360
7,474,34,39,8,0,2,21948,8,1154,34,39,8,0,31249,6,424,34,39,8,3000,44476,6,21,34,39,8,1053,1,30272,4,4526,34,39,8,700,46544,2,2782,34,39,8,0,37265,,,,,,,,,,,,,,,,,,,,,,,,
7,562,34,39,8,0,2,4326,8,1411,34,39,8,0,26532,6,576,34,39,8,0,0,6,1100,34,39,8,0,0,8516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,82,34,39,0,0,1,25000,8,904,34,39,0,0,47868,6,272,34,39,0,0,99652,6,43,34,39,0,0,0,16950,4,3305,34,39,0,0,6000,2,2733,34,39,0,0,76214,3,3831,12,17,0,0,0,67000,,,,,,,,,2,3943,34,39,99,0,0,46000
7,586,34,39,0,0,0,36000,8,887,34,39,0,0,21850,6,416,34,39,0,0,25700,6,163,34,39,0,0,0,69000,4,6774,34,39,0,0,35718,2,1121,34,39,0,0,11496,3,4371,34,39,0,0,0,14300,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6582,34,39,6,0,0,16692
,,,,,,,,8,820,34,39,8,0,19884,6,2348,34,39,8,0,15080,6,434,34,39,8,0,0,20000,4,6118,34,39,8,0,13485,2,3442,34,39,8,0,15000,3,4984,34,39,8,0,0,40000,1,4127,34,39,11,0,0,25000,2,3931,34,39,11,0,0,35760
7,154,34,39,0,0,0,26500,8,211,34,39,0,0,38660,6,395,34,39,0,0,23650,6,379,34,39,0,0,0,28000,4,4775,34,39,0,0,44630,2,4593,34,39,0,0,30182,3,4348,34,39,0,0,0,5200,1,3985,34,39,15,0,0,9452,2,2135,34,39,15,0,0,12910
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5796,34,39,8,0,10015,2,3959,34,39,8,0,3420,3,5898,34,39,8,0,0,12200,1,4093,34,39,1,0,0,9200,2,4020,34,39,1,50,0,70024
7,826,34,39,0,0,0,20763,8,1504,34,39,0,0,6586,6,645,34,39,0,0,30996,6,523,34,39,0,0,0,6204,4,5855,34,39,0,0,13276,,,,,,,,3,7924,34,39,0,0,0,75050,1,4136,34,39,1,0,0,72000,,,,,,,,
7,5267,34,39,8,0,0,32000,8,504,34,39,8,0,8000,6,871,34,39,8,0,43427,6,3452,34,39,8,0,0,24233,4,5991,34,39,8,0,12820,2,7746,34,39,8,0,26000,3,5735,34,39,8,0,0,20000,1,4045,34,39,1,0,0,30000,2,8470,34,39,1,0,0,75000
,,,,,,,,,,,,,,,6,6730,34,39,0,0,24920,6,83,34,39,0,0,0,14000,4,6276,34,39,0,0,48955,2,5421,34,39,0,0,26050,3,5069,34,39,0,0,0,21552,1,4355,34,39,1,0,0,45000,2,8281,34,39,1,0,0,64888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4231,34,39,14,0,2,45000,2,3865,34,39,14,0,0,58867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6202,34,39,0,0,28000,2,6262,34,39,0,0,31500,3,4139,34,39,0,0,0,82000,1,4308,34,39,1,0,0,102000,2,6330,34,39,1,0,0,62600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8581,34,39,1,0,12800,2,8170,34,39,1,0,56236,3,9038,34,39,1,0,0,105100,1,3992,34,39,14,0,0,61200,2,6274,34,39,14,0,0,11138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8359,34,39,98,0,650,2,5709,34,39,99,0,200,3,4261,34,39,99,0,0,3600,1,4048,34,39,15,0,0,0,2,5920,34,39,15,0,0,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3856,34,39,8,15,2450,3,3854,12,17,8,0,0,2961,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6798,12,17,0,0,0,1800,1,4198,12,17,1,0,0,17000,2,4239,34,39,1,0,0,19000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5140,34,39,0,0,0,100,1,4077,34,39,11,0,0,1080,,,,,,,,
7,571,34,39,8,0,0,5520,8,482,34,39,8,0,8400,6,290,34,39,8,0,21321,6,183,34,39,8,0,0,19300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,2208,12,17,1,0,42344,6,4986,12,17,1,0,53408,6,6885,12,17,1,0,0,55750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1056,34,39,8,0,0,10226,8,170,34,39,8,0,34000,6,589,34,39,8,0,52446,6,532,34,39,8,0,0,38613,4,3387,34,39,8,0,16640,2,6213,34,39,8,0,23400,3,4769,34,39,8,0,0,17000,1,4044,34,39,6,0,0,7200,,,,,,,,
7,1394,34,39,8,0,0,8400,8,800,34,39,8,0,34338,6,1005,34,39,8,0,40850,6,477,34,39,8,0,0,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8150,34,39,0,0,1670,,,,,,,,,,,,,,,,,,,,,,,,
7,104,13,18,99,0,0,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,3836,34,39,0,0,6500,6,177,34,39,0,0,0,6300,4,4127,34,39,0,0,43725,2,3786,34,39,0,0,170000,3,4690,34,39,0,0,0,370000,1,3893,34,39,1,0,0,325000,2,7533,34,39,1,0,0,400000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7355,34,39,98,0,28344,2,1156,34,39,99,0,8400,3,4596,34,39,99,0,0,21600,1,4092,34,39,99,0,0,15828,2,4898,34,39,99,0,0,22284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8696,34,39,0,0,18640,2,7575,34,39,0,0,51000,3,5879,34,39,0,0,0,49800,1,4016,34,39,1,0,0,41610,2,6614,34,39,1,0,0,56300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4873,34,39,8,0,0,39200,1,4454,34,39,1,0,5,81500,2,4800,34,39,1,0,99,37637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6743,12,17,0,0,101250,3,5233,12,17,0,0,1,31000,1,4131,12,17,4,0,0,83000,2,4476,12,17,4,0,0,85000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6528,34,39,1,0,0,6643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4290,12,17,11,0,2,6200,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6517,34,39,99,0,0,53980
7,181,32,37,8,500,2,12140,8,5963,32,37,8,700,23232,6,2007,32,37,8,800,13641,6,2486,32,37,8,0,8,17068,4,866,32,37,8,500,14428,2,698,32,37,8,0,14964,3,1119,32,37,8,0,2,19000,1,2935,32,37,6,0,4,24788,2,1248,32,37,6,400,1,15732
7,523,32,37,8,0,1,6570,8,6742,32,37,8,50,30860,6,3276,32,37,8,0,36400,6,8551,32,37,8,0,3,31645,4,7473,32,37,8,0,35640,2,6871,32,37,8,0,50000,3,1458,32,37,8,0,1,39000,1,3135,32,37,6,0,1,30000,2,1623,32,37,6,0,0,23400
7,4930,32,37,8,0,2,25000,8,6917,32,37,8,700,26300,6,2239,32,37,8,300,24000,6,2506,32,37,8,0,1,25272,4,2351,32,37,8,0,22100,2,1443,32,37,8,0,4200,3,1478,32,37,8,200,2,16700,1,2994,32,37,6,0,1,2200,2,1328,32,37,6,0,0,0
7,618,19,24,8,200,2,20800,8,7291,32,37,8,1200,14000,6,2250,32,37,8,300,13984,6,2581,32,37,8,600,3,39128,4,6294,32,37,8,1600,58360,2,227,32,37,8,4300,51182,3,1151,32,37,8,3400,2,50888,1,3145,32,37,6,3600,3,56000,2,1298,32,37,6,2800,8,57000
7,563,19,24,8,0,7,10300,8,8022,32,37,8,0,300,6,3006,19,24,8,0,8600,6,8316,32,37,8,0,3,12300,4,6697,19,24,8,89,3200,2,833,32,37,8,120,3150,3,1173,32,37,8,0,2,7300,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3172,32,37,14,0,1,37000,2,1517,32,37,14,0,1,25400
,,,,,,,,,,,,,,,,,,,,,,6,8869,32,37,8,0,26,18516,,,,,,,,2,5033,32,37,8,0,60050,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1744,32,37,8,0,0,10000,1,3101,32,37,14,0,0,0,2,1718,32,37,14,0,0,46920
